person_id,predict_horizon,FDE_mean,FDE_min,ADE_mean,ADE_min,num_predicted_trajs
13185100,1,0.584,0.584,0.584,0.584,0.584,1
13185100,2,0.943,0.943,0.764,0.764,0.764,1
13185100,3,1.003,1.003,0.843,0.843,0.843,1
13185100,4,1.329,1.329,0.965,0.965,0.965,1
13185100,5,1.785,1.785,1.129,1.129,1.129,1
13185100,6,2.241,2.241,1.314,1.314,1.314,1
13185100,7,2.613,2.613,1.5,1.5,1.5,1
13185100,8,3.035,3.035,1.692,1.692,1.692,1
13185100,9,3.452,3.452,1.887,1.887,1.887,1
13185100,10,3.931,3.931,2.092,2.092,2.092,1
13185100,11,4.568,4.568,2.317,2.317,2.317,1
13185100,12,5.12,5.12,2.55,2.55,2.55,1
13185100,13,5.612,5.612,2.786,2.786,2.786,1
13185100,14,6.347,6.347,3.04,3.04,3.04,1
13185100,15,7.019,7.019,3.305,3.305,3.305,1
13185100,16,7.725,7.725,3.582,3.582,3.582,1
13185100,17,8.448,8.448,3.868,3.868,3.868,1
13185100,18,9.241,9.241,4.166,4.166,4.166,1
13185100,19,10.442,10.442,4.497,4.497,4.497,1
13185100,20,11.404,11.404,4.842,4.842,4.842,1
13185100,21,12.27,12.27,5.196,5.196,5.196,1
13185100,22,13.226,13.226,5.561,5.561,5.561,1
13185100,23,14.079,14.079,5.931,5.931,5.931,1
13185100,24,14.962,14.962,6.307,6.307,6.307,1
13185100,25,16.053,16.053,6.697,6.697,6.697,1
13185100,26,16.979,16.979,7.093,7.093,7.093,1
13185100,27,18.123,18.123,7.501,7.501,7.501,1
13185100,28,19.012,19.012,7.912,7.912,7.912,1
13185100,29,20.237,20.237,8.337,8.337,8.337,1
13185100,30,21.22,21.22,8.767,8.767,8.767,1
13185100,31,22.392,22.392,9.206,9.206,9.206,1
13185100,32,23.48,23.48,9.652,9.652,9.652,1
13185100,33,24.505,24.505,10.102,10.102,10.102,1
13185100,34,25.722,25.722,10.562,10.562,10.562,1
13185100,35,26.88,26.88,11.028,11.028,11.028,1
13185100,36,27.941,27.941,11.498,11.498,11.498,1
13185100,37,29.203,29.203,11.976,11.976,11.976,1
13185100,38,30.665,30.665,12.468,12.468,12.468,1
13185100,39,31.937,31.937,12.967,12.967,12.967,1
13185100,40,33.186,33.186,13.473,13.473,13.473,1
13185100,41,34.637,34.637,13.989,13.989,13.989,1
