person_id,predict_horizon,FDE_mean,FDE_min,ADE_mean,ADE_min,num_predicted_trajs
32096,0.4,0.13,0.05,0.13,0.05,0.05,20
32096,0.8,0.211,0.146,0.171,0.112,0.098,20
32096,1.2000000000000002,0.316,0.236,0.219,0.171,0.144,20
32096,1.6,0.398,0.316,0.264,0.219,0.187,20
32096,2.0,0.419,0.341,0.295,0.25,0.218,20
32096,2.4000000000000004,0.4,0.284,0.312,0.265,0.229,20
32096,2.8000000000000003,0.374,0.237,0.321,0.27,0.23,20
32096,3.2,0.359,0.231,0.326,0.271,0.23,20
32096,3.6,0.36,0.174,0.33,0.271,0.224,20
32096,4.0,0.361,0.206,0.333,0.266,0.222,20
32096,4.4,0.377,0.122,0.337,0.264,0.213,20
32096,4.800000000000001,0.428,0.131,0.344,0.265,0.206,20
32096,5.2,0.483,0.231,0.355,0.264,0.208,20
32096,5.6000000000000005,0.542,0.207,0.369,0.264,0.208,20
32096,6.0,0.6,0.133,0.384,0.268,0.203,20
32096,6.4,0.693,0.172,0.403,0.262,0.201,20
32096,6.800000000000001,0.772,0.203,0.425,0.258,0.201,20
32096,7.2,0.84,0.238,0.448,0.265,0.203,20
32096,7.6000000000000005,0.913,0.241,0.472,0.276,0.205,20
32096,8.0,0.988,0.249,0.498,0.282,0.207,20
32096,8.4,1.065,0.287,0.525,0.285,0.211,20
32096,8.8,1.115,0.302,0.552,0.286,0.215,20
32096,9.200000000000001,1.166,0.35,0.579,0.291,0.221,20
32096,9.600000000000001,1.233,0.419,0.606,0.296,0.229,20
32096,10.0,1.246,0.455,0.632,0.303,0.238,20
32096,10.4,1.242,0.466,0.655,0.309,0.247,20
32096,10.8,1.214,0.223,0.676,0.317,0.246,20
32096,11.200000000000001,1.193,0.103,0.694,0.322,0.241,20
32096,11.600000000000001,1.196,0.244,0.712,0.327,0.241,20
32096,12.0,1.2,0.146,0.728,0.331,0.238,20
